Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/3339,1,0,167.8781000082381,167.8781000082381,167.8781000082381,167.8781000082381,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3340,1,0,167.8978999843821,167.8978999843821,167.8978999843821,167.8978999843821,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3342,1,0,163.28269999939948,163.28269999939948,163.28269999939948,163.28269999939948,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3345,1,0,166.53979997499846,166.53979997499846,166.53979997499846,166.53979997499846,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3346,1,0,168.80739998305216,168.80739998305216,168.80739998305216,168.80739998305216,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3347,1,0,169.11950000212528,169.11950000212528,169.11950000212528,169.11950000212528,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3348,1,0,161.78570000920445,161.78570000920445,161.78570000920445,161.78570000920445,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3350,1,0,168.04339998634532,168.04339998634532,168.04339998634532,168.04339998634532,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3351,1,0,165.8500999910757,165.8500999910757,165.8500999910757,165.8500999910757,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3352,1,0,165.97090000868775,165.97090000868775,165.97090000868775,165.97090000868775,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3353,1,0,162.98170000663958,162.98170000663958,162.98170000663958,162.98170000663958,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3354,1,0,164.49970001121983,164.49970001121983,164.49970001121983,164.49970001121983,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
